episode,player,total_reward,steps_played,won
260_W,W,-1.0,11.0,B
260_B,B,996.0,14.0,B
261_W,W,-2.0,14.0,B
261_B,B,1000.0,12.0,B
262_W,W,-9.0,21.0,B
262_B,B,993.0,19.0,B
263_W,W,1003.0,7.0,W
263_B,B,-11.0,19.0,W
264_W,W,-4.0,16.0,B
264_B,B,982.0,30.0,B
265_W,W,988.0,26.0,W
265_B,B,-18.0,30.0,W
266_W,W,-11.0,23.0,B
266_B,B,1000.0,12.0,B
267_W,W,993.0,19.0,W
267_B,B,-5.0,15.0,W
268_W,W,-1021.0,31.0,B
268_B,B,-5.0,13.0,B
269_W,W,999.0,15.0,W
269_B,B,-6.0,18.0,W
270_W,W,-6.0,16.0,B
270_B,B,978.0,32.0,B
271_W,W,995.0,13.0,W
271_B,B,-6.0,12.0,W
272_W,W,996.0,16.0,W
272_B,B,2.0,8.0,W
273_W,W,1001.0,9.0,W
273_B,B,1.0,7.0,W
274_W,W,4.0,6.0,B
274_B,B,997.0,13.0,B
275_W,W,997.0,13.0,W
275_B,B,1.0,7.0,W
276_W,W,996.0,12.0,W
276_B,B,0.0,6.0,W
277_W,W,1000.0,6.0,W
277_B,B,-3.0,7.0,W
278_W,W,1003.0,5.0,W
278_B,B,-7.0,13.0,W
279_W,W,-1.0,9.0,B
279_B,B,989.0,19.0,B
280_W,W,-5.0,15.0,B
280_B,B,996.0,14.0,B
281_W,W,-1.0,7.0,B
281_B,B,1003.0,3.0,B
282_W,W,-5.0,17.0,B
282_B,B,971.0,41.0,B
283_W,W,994.0,20.0,W
283_B,B,-21.0,33.0,W
284_W,W,996.0,18.0,W
284_B,B,-16.0,28.0,W
285_W,W,998.0,10.0,W
285_B,B,-1.0,7.0,W
286_W,W,-5.0,17.0,B
286_B,B,995.0,17.0,B
287_W,W,-997.0,7.0,B
287_B,B,-9.0,17.0,B
288_W,W,1.0,11.0,B
288_B,B,991.0,21.0,B
289_W,W,1004.0,4.0,W
289_B,B,-2.0,8.0,W
290_W,W,-15.0,27.0,B
290_B,B,997.0,15.0,B
291_W,W,998.0,12.0,W
291_B,B,-5.0,13.0,W
292_W,W,996.0,16.0,W
292_B,B,-3.0,13.0,W
293_W,W,998.0,14.0,W
293_B,B,-11.0,21.0,W
294_W,W,2.0,8.0,B
294_B,B,997.0,13.0,B
295_W,W,1002.0,4.0,W
295_B,B,1.0,3.0,W
296_W,W,0.0,8.0,B
296_B,B,998.0,10.0,B
297_W,W,-1005.0,15.0,B
297_B,B,3.0,5.0,B
298_W,W,4.0,8.0,B
298_B,B,992.0,20.0,B
299_W,W,3.0,3.0,B
299_B,B,1003.0,3.0,B
300_W,W,1004.0,4.0,W
300_B,B,1.0,5.0,W
301_W,W,999.0,11.0,W
301_B,B,1.0,7.0,W
302_W,W,992.0,22.0,W
302_B,B,-2.0,14.0,W
303_W,W,999.0,9.0,W
303_B,B,-5.0,11.0,W
304_W,W,1000.0,12.0,W
304_B,B,2.0,8.0,W
305_W,W,-3.0,13.0,B
305_B,B,988.0,22.0,B
306_W,W,-2.0,14.0,B
306_B,B,1000.0,12.0,B
307_W,W,-11.0,19.0,B
307_B,B,998.0,10.0,B
308_W,W,1000.0,14.0,W
308_B,B,2.0,10.0,W
309_W,W,-7.0,19.0,B
309_B,B,990.0,22.0,B
310_W,W,0.0,10.0,B
310_B,B,1001.0,9.0,B
311_W,W,998.0,10.0,W
311_B,B,0.0,6.0,W
312_W,W,1000.0,6.0,W
312_B,B,-2.0,6.0,W
313_W,W,1003.0,9.0,W
313_B,B,-4.0,14.0,W
314_W,W,-9.0,21.0,B
314_B,B,993.0,19.0,B
315_W,W,1002.0,8.0,W
315_B,B,3.0,5.0,W
316_W,W,995.0,19.0,W
316_B,B,4.0,8.0,W
317_W,W,2.0,8.0,B
317_B,B,987.0,23.0,B
318_W,W,-9.0,21.0,B
318_B,B,996.0,16.0,B
319_W,W,-2.0,10.0,B
319_B,B,1001.0,7.0,B
320_W,W,-1.0,11.0,B
320_B,B,1002.0,8.0,B
321_W,W,1003.0,5.0,W
321_B,B,1.0,5.0,W
322_W,W,3.0,9.0,B
322_B,B,995.0,17.0,B
323_W,W,998.0,16.0,W
323_B,B,2.0,10.0,W
324_W,W,0.0,12.0,B
324_B,B,985.0,27.0,B
325_W,W,4.0,8.0,B
325_B,B,1003.0,9.0,B
326_W,W,989.0,25.0,W
326_B,B,-3.0,15.0,W
327_W,W,997.0,15.0,W
327_B,B,0.0,10.0,W
328_W,W,-1048.0,60.0,B
328_B,B,-2.0,12.0,B
329_W,W,994.0,20.0,W
329_B,B,2.0,10.0,W
330_W,W,0.0,10.0,B
330_B,B,987.0,23.0,B
331_W,W,-1.0,11.0,B
331_B,B,999.0,11.0,B
332_W,W,993.0,19.0,W
332_B,B,0.0,10.0,W
333_W,W,0.0,6.0,B
333_B,B,1002.0,4.0,B
334_W,W,1000.0,14.0,W
334_B,B,-3.0,15.0,W
335_W,W,1003.0,3.0,W
335_B,B,-3.0,7.0,W
336_W,W,-2.0,12.0,B
336_B,B,995.0,15.0,B
337_W,W,999.0,15.0,W
337_B,B,-2.0,14.0,W
338_W,W,2.0,4.0,B
338_B,B,996.0,10.0,B
339_W,W,-13.0,27.0,B
339_B,B,1001.0,13.0,B
340_W,W,998.0,16.0,W
340_B,B,-10.0,22.0,W
341_W,W,983.0,31.0,W
341_B,B,-4.0,16.0,W
342_W,W,1001.0,7.0,W
342_B,B,-3.0,9.0,W
343_W,W,999.0,13.0,W
343_B,B,-3.0,13.0,W
344_W,W,1002.0,6.0,W
344_B,B,-2.0,8.0,W
345_W,W,-7.0,17.0,B
345_B,B,996.0,14.0,B
346_W,W,1003.0,5.0,W
346_B,B,-1.0,7.0,W
347_W,W,0.0,8.0,B
347_B,B,1000.0,8.0,B
348_W,W,2.0,4.0,B
348_B,B,1000.0,6.0,B
349_W,W,4.0,6.0,B
349_B,B,993.0,17.0,B
350_W,W,991.0,21.0,W
350_B,B,-7.0,17.0,W
351_W,W,-1.0,9.0,B
351_B,B,990.0,18.0,B
352_W,W,993.0,17.0,W
352_B,B,-3.0,11.0,W
353_W,W,999.0,13.0,W
353_B,B,-8.0,18.0,W
354_W,W,-9.0,19.0,B
354_B,B,987.0,23.0,B
355_W,W,1004.0,8.0,W
355_B,B,-6.0,16.0,W
356_W,W,2.0,6.0,B
356_B,B,991.0,17.0,B
357_W,W,998.0,16.0,W
357_B,B,-1.0,13.0,W
358_W,W,4.0,4.0,B
358_B,B,998.0,10.0,B
359_W,W,-6.0,20.0,B
359_B,B,972.0,42.0,B
360_W,W,990.0,24.0,W
360_B,B,-3.0,15.0,W
361_W,W,1003.0,9.0,W
361_B,B,-8.0,18.0,W
362_W,W,-1.0,9.0,B
362_B,B,995.0,13.0,B
363_W,W,993.0,19.0,W
363_B,B,-19.0,29.0,W
364_W,W,994.0,16.0,W
364_B,B,1.0,7.0,W
365_W,W,-1.0,9.0,B
365_B,B,996.0,12.0,B
366_W,W,1002.0,12.0,W
366_B,B,-3.0,15.0,W
367_W,W,3.0,7.0,B
367_B,B,996.0,14.0,B
368_W,W,995.0,11.0,W
368_B,B,1.0,3.0,W
369_W,W,-11.0,25.0,B
369_B,B,1001.0,13.0,B
370_W,W,-1.0,9.0,B
370_B,B,992.0,16.0,B
371_W,W,981.0,33.0,W
371_B,B,-2.0,14.0,W
372_W,W,-1.0,9.0,B
372_B,B,1003.0,5.0,B
373_W,W,4.0,8.0,B
373_B,B,993.0,19.0,B
374_W,W,1004.0,10.0,W
374_B,B,-1.0,13.0,W
375_W,W,-5.0,17.0,B
375_B,B,988.0,24.0,B
376_W,W,990.0,20.0,W
376_B,B,-6.0,14.0,W
377_W,W,3.0,5.0,B
377_B,B,998.0,10.0,B
378_W,W,-25.0,37.0,B
378_B,B,981.0,31.0,B
379_W,W,990.0,22.0,W
379_B,B,-12.0,22.0,W
380_W,W,-23.0,33.0,B
380_B,B,984.0,26.0,B
381_W,W,-3.0,15.0,B
381_B,B,994.0,18.0,B
382_W,W,-1.0,13.0,B
382_B,B,1002.0,10.0,B
383_W,W,999.0,11.0,W
383_B,B,-6.0,14.0,W
384_W,W,-3.0,13.0,B
384_B,B,996.0,14.0,B
385_W,W,4.0,6.0,B
385_B,B,997.0,13.0,B
386_W,W,988.0,22.0,W
386_B,B,-2.0,10.0,W
387_W,W,0.0,14.0,B
387_B,B,1000.0,14.0,B
388_W,W,-21.0,35.0,B
388_B,B,992.0,22.0,B
389_W,W,992.0,22.0,W
389_B,B,-21.0,33.0,W
390_W,W,998.0,10.0,W
390_B,B,-4.0,10.0,W
391_W,W,-1.0,7.0,B
391_B,B,1000.0,6.0,B
392_W,W,-12.0,24.0,B
392_B,B,995.0,17.0,B
393_W,W,995.0,15.0,W
393_B,B,-4.0,12.0,W
394_W,W,1004.0,4.0,W
394_B,B,-2.0,8.0,W
395_W,W,1005.0,7.0,W
395_B,B,0.0,10.0,W
396_W,W,1002.0,12.0,W
396_B,B,-21.0,33.0,W
397_W,W,1002.0,8.0,W
397_B,B,-7.0,15.0,W
398_W,W,989.0,21.0,W
398_B,B,-2.0,10.0,W
399_W,W,997.0,17.0,W
399_B,B,-34.0,46.0,W
400_W,W,995.0,15.0,W
